Distance [mm],Bz [],Bz_1 [],Bz_2 []
7.97355,-0.158518468,-0.137117799,-0.084943591
7.9924,-0.158916417,-0.137502589,-0.085213038
8.01125,-0.159294537,-0.137878917,-0.085480252
8.0301,-0.159652811,-0.13824677,-0.085677784
8.04895,-0.159991227,-0.138606132,-0.085920998
8.0678,-0.160309771,-0.138956989,-0.086161759
8.08665,-0.160829677,-0.139407361,-0.086400057
8.1055,-0.161391994,-0.13973605,-0.086635883
8.12435,-0.161938933,-0.140055827,-0.086869228
8.1432,-0.162470474,-0.140366679,-0.087100081
8.16205,-0.162277893,-0.140668593,-0.087328435
8.1809,-0.162640242,-0.140961557,-0.08755428
8.19975,-0.163312361,-0.14124556,-0.089067882
8.2186,-0.163966547,-0.141520591,-0.089311202
8.23745,-0.164602773,-0.141786639,-0.089551987
8.2563,-0.165221015,-0.142043694,-0.089790227
8.27515,-0.165821248,-0.142291744,-0.090025912
8.294,-0.166403449,-0.142530781,-0.090259033
8.31285,-0.166967594,-0.141307303,-0.090489581
8.3317,-0.167513662,-0.1415662,-0.090717546
8.35055,-0.16804163,-0.141818096,-0.090942921
8.3694,-0.168551478,-0.142062982,-0.091165696
8.38825,-0.169043186,-0.142300848,-0.091385861
8.4071,-0.169516734,-0.142531685,-0.091603409
8.42595,-0.169972104,-0.142755482,-0.091818331
8.4448,-0.170409277,-0.143120242,-0.092030618
8.46365,-0.170828237,-0.143504071,-0.092240262
8.4825,-0.171228967,-0.143880736,-0.092447255
8.50135,-0.171611451,-0.144250222,-0.092651588
8.5202,-0.171975673,-0.144612515,-0.09290797
8.53905,-0.172344292,-0.144967601,-0.093064011
8.5579,-0.172420731,-0.145315464,-0.093218211
8.57675,-0.172479179,-0.145656092,-0.093370566
8.5956,-0.172519633,-0.145989472,-0.093521068
8.61445,-0.172542092,-0.146315589,-0.093669713
8.6333,-0.172546554,-0.146634431,-0.093816494
8.65215,-0.17253302,-0.146945986,-0.093961405
8.671,-0.17250149,-0.147250241,-0.094104441
8.68985,-0.172451966,-0.147547185,-0.094245595
8.7087,-0.172384448,-0.148926375,-0.094384864
8.72755,-0.172298941,-0.149768579,-0.09452224
8.7464,-0.167588087,-0.150056935,-0.094657718
8.76525,-0.168024364,-0.150337305,-0.094791294
8.7841,-0.168432958,-0.150609678,-0.094922962
8.80295,-0.168813852,-0.150874043,-0.095052716
8.8218,-0.169167031,-0.151130389,-0.095180552
8.84065,-0.169492481,-0.151302535,-0.095306465
8.8595,-0.16979019,-0.151485137,-0.095260491
8.87835,-0.177585705,-0.151659275,-0.095340725
8.8972,-0.177825147,-0.151824941,-0.09541879
8.91605,-0.17804196,-0.15198213,-0.095494683
8.9349,-0.178236136,-0.152130834,-0.095537645
8.95375,-0.178407667,-0.152271049,-0.095629873
8.9726,-0.178556545,-0.152402768,-0.095719975
8.99145,-0.178682766,-0.152525986,-0.095807945
9.0103,-0.178786324,-0.152640699,-0.095893783
9.02915,-0.178867216,-0.152746902,-0.095977483
9.048,-0.178925437,-0.152844591,-0.096059042
9.06685,-0.178960986,-0.152933762,-0.096138458
9.0857,-0.178973861,-0.153014411,-0.096215727
9.10455,-0.178964061,-0.153345854,-0.096290846
9.1234,-0.178931588,-0.153408464,-0.096363813
9.14225,-0.178876443,-0.153462467,-0.096434623
9.1611,-0.178798626,-0.153507863,-0.096503275
9.17995,-0.178895004,-0.153544648,-0.096569766
9.1988,-0.178953144,-0.153572823,-0.096634093
9.21765,-0.179128669,-0.153592385,-0.096696254
9.2365,-0.179440303,-0.153603334,-0.096756246
9.25535,-0.179728961,-0.15360567,-0.096814066
9.2742,-0.17999463,-0.153599392,-0.096869713
