Distance [mm],Br [],Br_1 [],Br_2 []
4.35435,0.026911658,0.011209195,0.005327854
4.3732,0.025512636,0.01063756,0.004997034
4.39205,0.024111609,0.010067115,0.004665471
4.4109,0.022708555,0.009497761,0.004333077
4.42975,0.021303455,0.008699053,0.004151095
4.4486,0.01989629,0.008117382,0.00388024
4.46745,0.01848704,0.00753571,0.003609429
4.4863,0.017075686,0.00695394,0.003338575
4.50515,0.015662211,0.006371977,0.003067592
4.524,0.014246597,0.005789724,0.002796393
4.54285,0.012828827,0.005207086,0.002524891
4.5617,0.011408884,0.004623968,0.002252998
4.58055,0.009986752,0.004040272,0.001980627
4.5994,0.008562416,0.003455904,0.001707691
4.61825,0.00713586,0.001644716,0.001434102
4.6371,0.00570707,0.001041412,0.001159772
4.65595,0.004276032,0.000436767,0.000884615
4.6748,0.002842734,-0.000169322,0.000608543
4.69365,0.001407163,0.00065067,0.000331467
4.7125,-3.07E-05,-1.90E-05,5.33E-05
4.73135,-0.001474459,-0.000692047,-0.000226043
4.7502,-0.002916809,-0.00131799,-0.000506653
4.76905,-0.004357749,-0.001994346,-0.000788616
4.7879,-0.005797284,-0.002652355,-0.001072019
4.80675,-0.007235422,-0.003200613,-0.001401103
4.8256,-0.008672168,-0.003747672,-0.001713248
4.84445,-0.010107531,-0.004293643,-0.002023715
4.8633,-0.011541519,-0.004838637,-0.002332591
4.88215,-0.012974139,-0.005382764,-0.002639962
4.901,-0.0144054,-0.005926138,-0.002945918
4.91985,-0.015835311,-0.006468867,-0.003250546
4.9387,-0.017263882,-0.007011064,-0.003553932
4.95755,-0.018691122,-0.007552839,-0.003856164
4.9764,-0.020117041,-0.008094303,-0.004157331
4.99525,-0.02154165,-0.008635568,-0.004457519
5.0141,-0.022964959,-0.009176743,-0.004756815
5.03295,-0.024386978,-0.00971794,-0.005055307
5.0518,-0.025807721,-0.010259268,-0.005353081
5.07065,-0.027227196,-0.010800837,-0.005650225
5.0895,-0.028645417,-0.011342758,-0.005946826
5.10835,-0.030062394,-0.01188514,-0.00624297
5.1272,-0.031251338,-0.012281794,-0.006538743
5.14605,-0.032516704,-0.012866522,-0.006834232
5.1649,-0.033366133,-0.013452391,-0.007129523
5.18375,-0.036064916,-0.014039495,-0.007424702
5.2026,-0.037451667,-0.01462793,-0.007719855
5.22145,-0.038836358,-0.01521779,-0.008015067
5.2403,-0.040219002,-0.01580917,-0.008310423
5.25915,-0.041599615,-0.016402163,-0.008606008
5.278,-0.042978213,-0.016996863,-0.008901907
5.29685,-0.044354811,-0.017593364,-0.009002342
5.3157,-0.045729427,-0.018191758,-0.009336182
5.33455,-0.047102079,-0.018792138,-0.0096707
5.3534,-0.048472785,-0.019394597,-0.010005989
5.37225,-0.049841566,-0.019999226,-0.010342142
5.3911,-0.051208441,-0.020606117,-0.010679253
5.40995,-0.052573431,-0.02121536,-0.011017414
5.4288,-0.053936558,-0.021853444,-0.011356719
5.44765,-0.055297844,-0.022401534,-0.011697259
5.4665,-0.056657312,-0.022949105,-0.012039127
5.48535,-0.058014985,-0.023496253,-0.012382413
5.5042,-0.059370887,-0.024043074,-0.012540494
5.52305,-0.060725042,-0.024589662,-0.012834458
5.5419,-0.062077477,-0.025136114,-0.013127004
5.56075,-0.063428216,-0.025682524,-0.013418225
5.5796,-0.064777287,-0.026228988,-0.013708215
5.59845,-0.066124714,-0.027189794,-0.013997066
5.6173,-0.067470526,-0.027803417,-0.014284872
5.63615,-0.068971649,-0.028416777,-0.014571725
5.655,-0.070306953,-0.028460593,-0.014857719
5.67385,-0.071637928,-0.029060822,-0.015142946
5.6927,-0.072964585,-0.029659274,-0.015427499
5.71155,-0.074286938,-0.030256034,-0.015711468
5.7304,-0.075605,-0.030851188,-0.015994947
5.74925,-0.076918787,-0.03144482,-0.016278027
5.7681,-0.078228319,-0.032037013,-0.016560799
5.78695,-0.079533613,-0.032627853,-0.016843354
5.8058,-0.08083469,-0.033217422,-0.017125782
5.82465,-0.082131573,-0.033805805,-0.017408175
5.8435,-0.083424283,-0.034393083,-0.017690622
5.86235,-0.085184677,-0.034979339,-0.017973212
5.8812,-0.086560482,-0.035564656,-0.018256036
5.90005,-0.087932197,-0.036149114,-0.018539182
5.9189,-0.089299803,-0.036660882,-0.018822738
5.93775,-0.090663283,-0.037260924,-0.019106792
5.9566,-0.092022622,-0.03786155,-0.019391433
5.97545,-0.093377806,-0.038462836,-0.019676748
5.9943,-0.094728821,-0.039064859,-0.019962822
6.01315,-0.096075654,-0.039667695,-0.020249743
6.032,-0.097418297,-0.040271418,-0.020537596
6.05085,-0.098756737,-0.040842114,-0.020826468
6.0697,-0.100090968,-0.041415851,-0.021116441
6.08855,-0.101420982,-0.041990458,-0.021407602
6.1074,-0.102794479,-0.042566034,-0.021754914
6.12625,-0.104104843,-0.043142677,-0.022069745
6.1451,-0.105409229,-0.043720484,-0.022553614
