Distance [mm],B_phi [],B_phi_1 [],B_phi_2 []
5.44765,0.173477894,0.116094117,0.07622564
5.4665,0.173181373,0.115909867,0.076137322
5.48535,0.172872803,0.115725423,0.076047302
5.5042,0.172552164,0.115540748,0.075519277
5.52305,0.172219439,0.115355803,0.075344472
5.5419,0.171874613,0.115170552,0.075170626
5.56075,0.17151767,0.114984958,0.074997705
5.5796,0.171148598,0.114798985,0.074825676
5.59845,0.170767384,0.113563261,0.074654507
5.6173,0.170374018,0.113333556,0.074484167
5.63615,0.169363192,0.113101563,0.074314623
5.655,0.169101913,0.113920255,0.074145844
5.67385,0.168828602,0.113641878,0.073977801
5.6927,0.16854322,0.113361727,0.073810463
5.71155,0.168245728,0.113079765,0.0736438
5.7304,0.167936089,0.112795954,0.073477784
5.74925,0.167614268,0.112510261,0.073312386
5.7681,0.16728023,0.112222648,0.073147577
5.78695,0.166933941,0.111933082,0.072983329
5.8058,0.16657537,0.111641529,0.072819616
5.82465,0.166204486,0.111347955,0.072656409
5.8435,0.165821259,0.111052328,0.072493683
5.86235,0.165888753,0.110754614,0.072331411
5.8812,0.165470495,0.110454783,0.072169568
5.90005,0.16504033,0.110152803,0.072008127
5.9189,0.164598246,0.109944088,0.071847064
5.93775,0.16414423,0.109680232,0.071686354
5.9566,0.163678273,0.109413713,0.071525972
5.97545,0.163200365,0.109144485,0.071365896
5.9943,0.162710498,0.108872504,0.0712061
6.01315,0.162208664,0.108597724,0.071046562
6.032,0.161694859,0.108320101,0.070887259
6.05085,0.161169077,0.10804713,0.070728168
6.0697,0.160631315,0.10776095,0.070569267
6.08855,0.160081572,0.107470781,0.070410533
6.1074,0.159425288,0.107176571,0.070096274
6.12625,0.15896801,0.106878268,0.069881009
6.1451,0.158500149,0.106575821,0.069755806
6.16395,0.158021691,0.106269178,0.069468871
6.1828,0.157532621,0.104531916,0.06918352
6.20165,0.157032928,0.104118826,0.0688997
6.2205,0.1565226,0.104442322,0.068617358
6.23935,0.156001625,0.104094336,0.06833644
6.2582,0.155469994,0.103744601,0.068056894
6.27705,0.154927697,0.10339305,0.067778669
6.2959,0.154374728,0.103039613,0.067501712
6.31475,0.153811078,0.102684223,0.067225971
6.3336,0.153314873,0.102326813,0.066951397
6.35245,0.152748431,0.101967318,0.066677939
6.3713,0.152170298,0.101605671,0.066405546
6.39015,0.151580441,0.101241808,0.066134168
6.409,0.150978826,0.100875664,0.065863756
6.42785,0.150365419,0.100507175,0.065594261
6.4467,0.149740189,0.100136279,0.065325633
6.46555,0.149103107,0.099762912,0.065057825
6.4844,0.148454142,0.099387013,0.064790787
6.50325,0.147793269,0.099008521,0.064524472
6.5221,0.147120461,0.098627375,0.064258832
6.54095,0.146435694,0.098243514,0.06399382
6.5598,0.145738944,0.09785688,0.063729388
6.57865,0.145030191,0.097467413,0.063465489
6.5975,0.144269385,0.097075055,0.063202076
6.61635,0.143666567,0.096679748,0.062939103
6.6352,0.143053879,0.096281435,0.062676523
6.65405,0.142431283,0.095880059,0.06241429
6.6729,0.141798746,0.095777291,0.062152358
6.69175,0.141156232,0.095346597,0.061890682
6.7106,0.140503709,0.09412638,0.061629214
6.72945,0.139841144,0.09355687,0.06136791
6.7483,0.139168505,0.092989378,0.060852691
6.76715,0.138485761,0.092423809,0.060511867
6.786,0.137792883,0.091860063,0.060171774
6.80485,0.137089841,0.091298045,0.059832358
6.8237,0.136376607,0.090737657,0.05949357
6.84255,0.135653155,0.090178803,0.059155356
6.8614,0.134919459,0.089621387,0.058817668
6.88025,0.134175495,0.089065312,0.058480453
6.8991,0.13342124,0.088560199,0.058143662
6.91795,0.132656671,0.08809088,0.057807246
6.9368,0.131881768,0.087620317,0.057471154
6.95565,0.131096512,0.087148406,0.057135337
6.9745,0.130300886,0.08667504,0.056799747
6.99335,0.129494872,0.086200114,0.056464335
7.0122,0.128824605,0.085723525,0.056129053
7.03105,0.128003001,0.085245168,0.055793853
7.0499,0.126637773,0.084764939,0.055458687
7.06875,0.125895417,0.084282735,0.055123507
7.0876,0.125144225,0.083798453,0.054788267
7.10645,0.124384151,0.08331199,0.054452919
7.1253,0.123615151,0.082823243,0.054117417
7.14415,0.122837179,0.082332111,0.053781713
7.163,0.122050193,0.081838492,0.053445762
7.18185,0.121254147,0.081342284,0.053109517
7.2007,0.120448999,0.081662019,0.052748536
7.21955,0.119634708,0.081045006,0.052423718
7.2384,0.11881123,0.080429077,0.052098004
7.25725,0.117978526,0.079814119,0.051771344
7.2761,0.117136556,0.079200017,0.051443683
7.29495,0.11628528,0.078586658,0.051114969
7.3138,0.115424661,0.077973931,0.05078515
7.33265,0.114554661,0.077361721,0.050454173
7.3515,0.113675246,0.076749919,0.050191658
7.37035,0.112786379,0.076138412,0.049790745
7.3892,0.111888028,0.075527089,0.049390136
7.40805,0.11098016,0.075723971,0.048989773
7.4269,0.110437381,0.075154858,0.048589601
7.44575,0.109568233,0.074585567,0.048189561
7.4646,0.108691647,0.074015971,0.047789599
7.48345,0.107807576,0.073445941,0.047015413
7.5023,0.106915974,0.069932773,0.046612705
7.52115,0.106016797,0.069319215,0.046210806
7.54,0.105109999,0.068706187,0.045809644
7.55885,0.104195536,0.068093563,0.045409152
7.5777,0.103273366,0.067481218,0.04500926
7.59655,0.102690049,0.067757474,0.044609899
7.6154,0.101747241,0.06726992,0.044211001
7.63425,0.100797789,0.066695921,0.043812496
7.6531,0.099841657,0.066121039,0.043414316
7.67195,0.09887881,0.065545162,0.043016393
7.6908,0.097909215,0.064968175,0.042618657
7.70965,0.096932838,0.064389967,0.042221041
7.7285,0.095949646,0.063810424,0.041823475
7.74735,0.094959608,0.063229435,0.041551327
7.7662,0.093243444,0.062646888,0.041094171
7.78505,0.092334326,0.061874846,0.040637456
7.8039,0.091420463,0.061257954,0.040181112
7.82275,0.090501804,0.060639861,0.039725071
7.8416,0.089578297,0.060020464,0.039269264
7.86045,0.08864989,0.059399663,0.038813623
7.8793,0.087716533,0.060162917,0.038358079
7.89815,0.086778175,0.059276882,0.037902566
7.917,0.085834766,0.058394506,0.037447016
7.93585,0.084886256,0.057398383,0.036991361
7.9547,0.083932596,0.056610055,0.036535535
7.97355,0.082973739,0.055822488,0.03607947
7.9924,0.082009636,0.055035563,0.035623101
8.01125,0.081040241,0.054249161,0.03516636
8.0301,0.080065507,0.053463164,0.034806833
8.04895,0.07908539,0.052677455,0.034386241
8.0678,0.078099846,0.051891914,0.033965729
8.08665,0.0771188,0.051373452,0.033545231
8.1055,0.076067915,0.050714673,0.033124681
8.12435,0.075009319,0.050056078,0.032704015
8.1432,0.073942946,0.049397523,0.032283167
8.16205,0.072089593,0.048738863,0.031862072
8.1809,0.072527446,0.048079955,0.031440665
8.19975,0.071468177,0.047420655,0.031254931
8.2186,0.0704051,0.046760818,0.030791981
8.23745,0.06933817,0.046100303,0.030329491
8.2563,0.068267344,0.045438966,0.02986739
8.27515,0.067192581,0.044776663,0.02940561
8.294,0.066113837,0.044113252,0.028944082
8.31285,0.065031069,0.043623436,0.028482737
8.3317,0.063944236,0.04296373,0.028021509
8.35055,0.062853294,0.042302178,0.027560329
8.3694,0.061758203,0.041638618,0.027099132
8.38825,0.060658922,0.040972886,0.026637849
8.4071,0.059555409,0.040304819,0.026176415
8.42595,0.058447625,0.039634254,0.025714764
8.4448,0.05733553,0.038029653,0.02525283
8.46365,0.056219085,0.03736604,0.024790547
8.4825,0.055098253,0.036703157,0.024327851
8.50135,0.053972997,0.036040831,0.023864675
8.5202,0.052843279,0.035378892,0.023414196
8.53905,0.051590616,0.034717168,0.022930741
8.5579,0.050559021,0.034055491,0.022447592
8.57675,0.049524731,0.033393689,0.02196467
8.5956,0.048487678,0.032731594,0.021481897
8.61445,0.047447796,0.032069037,0.020999191
8.6333,0.04640502,0.031405849,0.020516475
8.65215,0.045359282,0.030741862,0.020033669
8.671,0.044310517,0.030076907,0.019550692
8.68985,0.043258659,0.029410817,0.019067465
8.7087,0.042203643,0.026998406,0.018583909
8.72755,0.041145403,0.028327236,0.018099944
8.7464,0.04010145,0.027497853,0.017615488
8.76525,0.039021105,0.026668716,0.017130462
8.7841,0.037937856,0.025839668,0.016644786
8.80295,0.036851669,0.025010555,0.016158379
8.8218,0.035762509,0.024181219,0.015671159
